qSpecies_string,species_id,confidence
Pseudotsuga menziesii - Douglas-fir,3ee32509-22e6-55dc-9f06-a4745247108c,1.00
Pinus nigra - Austrian pine,,1.00
Syringa pekinensis 'Bejing Gold' - 'Bejing Gold' Peking lilac,,0.90
Nyssa sylvatica 'Wildfire' - 'Wildfire' Black gum,383fddb5-3cee-5381-b40b-42dc05918558,0.90
Malus 'Velvet Pillar' - 'Velvet Pillar' flowering crabapple,739c7107-6028-5eea-81a6-a09abb7d1406,0.60
Malus 'Sugartyme' - 'Sugartyme' Crabapple,739c7107-6028-5eea-81a6-a09abb7d1406,0.60
Tsuga canadensis - eastern hemlock,,1.00
Paulownia tomentosa - princesstree,3141c682-e63c-5ca8-8d78-fbf173daa91e,1.00
Acer truncatum - Shantung maple,,1.00
Lagerstroemia indica - Crape Myrtle,86820f2a-dd18-5630-91b5-335a0c7131c2,1.00
Hamamelis virginiana - American witchhazel,,1.00
Acer buergerianum - trident maple,5eb0e735-b6f6-598d-89eb-de2f38172ca8,1.00
Populus - Poplar,3c35b0de-7ecb-52d9-b433-f726a208dcf6,0.70
Malus 'Red Jewel' - 'Red Jewel' Crabapple,739c7107-6028-5eea-81a6-a09abb7d1406,0.60
Carpinus japonica - Japanese hornbeam,,1.00
Gleditsia triacanthos var. inermis 'Halka' - 'Halka' Thornless honeylocust,579354bc-9c0f-594d-b73e-9b0bf6a3bf01,0.90
Tilia x flavescens 'Glenleven' - Glenleven Linden,,0.75
Populus tremuloides - quaking aspen,3b6ab7a3-9476-52cf-8ac7-1f07f1824413,1.00
Salix spp. - Willow,,0.75
Acer rubrum 'Brandywine' - 'Brandywine' Red maple,aeddf3cd-6091-5b26-bf15-70dd35c56c54,0.90
Quercus 'Regal Prince' - 'Regal Prince' Oak,fff6ccff-666b-519f-9d8a-bd6d4a9fe49b,0.60
Cornus alternifolia - alternateleaf dogwood,,1.00
Koelreuteria paniculata 'Gold Candle' - 'Gold Candle' Goldenraintree,74a57c4a-235f-59c0-b636-6f4178b18506,0.90
Magnolia grandiflora - southern magnolia,9633ad82-e024-5fdf-ac1c-fc877b82dbc2,1.00
Betula pendula - European white birch,042da646-e57d-5253-bf49-2b77052bc40d,1.00
Acer truncatum 'Urban Sunset' - 'Urban Sunset' Shantung maple,,0.90
Halesia carolina - Carolina silverbell,,1.00
Cercis reniformis - Oklahoma redbud,,1.00
Styrax japonicus 'Emerald Pagoda' - 'Emerald Pagoda' Japanese snowbell,b64d2848-20e9-57d6-b947-24d4dafb49b1,0.90
Amelanchier arborea - common serviceberry,,1.00
Juniperus chinensis 'Hetzii' - 'Hetzii' Chinese juniper,1e223e2c-3110-5564-a7e0-42b46eb15e8e,0.90
Metasequoia glyptostroboides 'Gold Rush' - 'Gold Rush' Dawn redwood,1096258a-3fba-5dae-8d70-f7cbe5a022c5,0.90
Malus hupehensis - Chinese crabapple,,1.00
Taxodium ascendens - pond cypress,,1.00
Acer rubrum 'Autumn Blaze' - 'Autumn Blaze' Red maple,aeddf3cd-6091-5b26-bf15-70dd35c56c54,0.90
Liquidambar styraciflua 'Happidaze' - 'Happidaze' Sweetgum,16934db9-16c4-5fb9-86e3-45177c3737ae,0.90
Ulmus 'New Horizon' - 'New Horizon' Elm,a40af43e-f1a8-5b93-ae6f-77bf177ce510,0.60
Syringa pekinensis 'China Snow' - 'China Snow' Peking lilac,,0.90
Acer rubrum 'Armstrong' - 'Armstrong' Red maple,3267250d-5dea-516b-9383-82009f11b7a9,0.90
Amelanchier x grandiflora 'Robin Hill' - 'Robin Hill' Serviceberry,,0.75
Cotinus coggygria - European smoketree,20415474-6eca-52d3-b5a0-21c14740411e,1.00
Pinus rigida - pitch pine,,1.00
Cedrus deodara - Deodar cedar,c8746368-65ad-528c-92b2-4a8503dfe5ef,1.00
Maclura pomifera - osage orange,,1.00
Tilia platyphyllos - largeleaf linden,,1.00
Chamaecyparis pisifera - sawara-cypress,,1.00
Aesculus x carnea 'Fort Mcnair' - 'Fort Mcnair' Ruby red horsechestnut,af1edbf1-d5a9-5b2e-b265-689dcd00fdd4,0.75
Betula populifolia - gray birch,,1.00
Ulmus 'Accolade' - 'Accolade' Elm,0c8edecd-57ba-52dc-b852-9f9b1da1a1e3,0.60
Celtis occidentalis 'Praire Sentinal' - 'Praire Sentinal' Hackberry,870cf55e-0c5b-5642-ace4-fce540523f06,0.90
Acer tataricum - tatarian maple,,1.00
Cercis canadensis 'Forest Pansy' - 'Forest Pansy' Eastern redbud,105c3731-7d28-5bf2-951d-043fdd4b1b52,0.90
Ginkgo biloba 'Princeton Sentry' - 'Princeton Sentry' Ginkgo,6006b15a-fb2c-5726-a543-3a3d58dcd60f,0.90
Quercus robur var. fastigiata - Upright english oak,5c33d272-9bd0-51ca-9544-d019635ddac2,0.90
Ginkgo biloba 'Windover Gold' - 'Windover Gold' Ginkgo,f5df51ba-bfd4-5f80-b241-85f8d6763671,0.90
Quercus palustris 'Green Pillar' - 'Green Pillar' Pin oak,1f46b39b-30b0-51a9-8f88-3916a1ef6af5,0.90
Betula nigra 'Duraheat' - 'Duraheat' River birch,dfaa8415-82d4-58eb-84d6-6d96d9aee807,0.90
Picea glauca - white spruce,,1.00
Tilia cordata 'Glenlevyn' - 'Glenlevyn' Littleleaf linden,d4c85034-f65a-58ba-b069-b2b837e634b7,0.90
Prunus cerasifera 'Newport' - 'Newport' Cherry plum,6393a177-ef67-568b-85a1-34e11cc3c720,0.90
Liquidambar styraciflua 'Worplesdon' - 'Worplesdon' Sweetgum,16934db9-16c4-5fb9-86e3-45177c3737ae,0.90
Ulmus 'Morton Glossy' - 'Morton Glossy' Elm,a40af43e-f1a8-5b93-ae6f-77bf177ce510,0.60
Tilia tomentosa 'Silver Lining' - 'Silver Lining' Silver linden,1a46577c-59c4-5f35-8297-1de9f2402ca4,0.90
Cercis canadensis 'Appalachian Red' - 'Appalachian Red' Eastern redbud,f768334a-6811-5485-8b5f-f4d14c698ece,0.90
Magnolia acuminata - cucumber tree,,1.00
Malus 'Prariefire' - 'Prariefire' Crabapple,739c7107-6028-5eea-81a6-a09abb7d1406,0.60
Carya ovata - shagbark hickory,,1.00
Quercus falcata - southern red oak,,1.00
Salix alba - white willow,,1.00
Aesculus glabra - Ohio buckeye,,1.00
Malus 'Cardinal' - 'Cardinal' Crabapple,739c7107-6028-5eea-81a6-a09abb7d1406,0.60
Malus 'Adams' - 'Adams' Crabapple,739c7107-6028-5eea-81a6-a09abb7d1406,0.60
Liquidambar styraciflua 'Slender Silhouette' - 'Slender Silhouette' Sweetgum,16934db9-16c4-5fb9-86e3-45177c3737ae,0.90
Betula lenta - sweet birch,,1.00
Halesia diptera - Two-wing silverbell,,1.00
Stewartia pseudocamellia - Japanese stewartia,,1.00
Malus 'Harvest Gold' - 'Harvest Gold' Crabapple,739c7107-6028-5eea-81a6-a09abb7d1406,0.60
Aesculus sp. - Horsechestnut,,0.75
Prunus serrulata 'Accolade' - 'Accolade' Flowering cherry,9596b71d-aa14-5032-88d9-b9c5b5feee99,0.90
Prunus sargentii 'Columnaris' - 'Columnaris' Sargent cherry,15470af7-4152-5cf1-8549-7b2c2c2f35d7,0.90
Albizia julibrissin - silktree,248ed22b-1dbf-5648-9ced-7dc11917a3d7,1.00
Celtis occidentalis 'Magnifica' - 'Magnifica' Hackberry,870cf55e-0c5b-5642-ace4-fce540523f06,0.90
Picea pungens 'Glauca' - 'Glauca' blue spruce,8c3b7e45-2314-592e-9605-23b43228b2b7,0.90
Malus sargentii - Sargent's apple,,1.00
Diospyros virginiana - common persimmon,,1.00
Ulmus 'Athena' - 'Athena' Elm,a40af43e-f1a8-5b93-ae6f-77bf177ce510,0.60
Alnus glutinosa - European alder,,1.00
Cedrus libani - Cedar of lebanon,b34e57cf-5fd9-5e53-bbf1-5727b87e24dc,1.00
Magnolia virginiana - sweetbay,,1.00
Malus x zumi var. calocarpa - Zumi crabapple,,0.75
