qSpecies_string,species_id,confidence
Zelkova serrata 'JFS-KW1',5ce37027-5d65-50c4-adc1-e0be04c99965,0.90
Acer buergeranium,0f34f266-066d-5b36-a688-5fe22b0a0543,1.00
Acer campestre 'Queen Elizabeth',a11b349c-3c2b-5ce0-a059-97f98701e3ac,0.90
Acer freemanii,ad6ebe55-d923-5680-b3cd-dea758f58231,1.00
Acer rubrum 'Armstrong',3267250d-5dea-516b-9383-82009f11b7a9,0.90
Archontophoenix cunninghamiana,9f9a2234-bf08-5d13-9697-5dc1baf35c33,1.00
Bauhinia variegata,e4796c9a-bb97-5bc5-a6e3-7f4f518ee5d3,1.00
Carpinus betulus,938eae33-7294-56b6-bf84-1b8d00151b63,1.00
Casuarina equisetifolia,b10b6025-2abb-5943-b640-0d6728b30e11,1.00
Ceanothus,0818fb76-8a08-5ec3-9910-8f4dee1e119c,0.70
Cercis,269ea426-6192-52c7-994b-2f249288b157,0.70
Chamaecyparis,dbf342ae-4be1-5f6f-a6c6-269c05eed2cb,0.70
Dodonaea viscosa,6cc6995b-054e-5161-adfc-4c923abf6ee6,1.00
Escallonia,58c5f301-9273-5a32-90b2-f56d91e02433,0.70
Eucalyptus cinerea,733418c1-ee93-5334-92e9-19452402ef4c,1.00
Eucalyptus ficifolia,c8790a5c-263d-5798-8f94-8ac286520df7,1.00
Ficus benjamina,ecac2de4-200d-5104-84f8-4e8537039dfb,1.00
Ilex,0094f86e-66cf-56bc-9bf7-bcec3c8b83e5,0.70
Juglans,258b0546-1b6b-50ea-ae77-d2c320a985b3,0.70
Leptospermum laevigatum,864eab62-ca57-54cd-a594-010b4311062e,1.00
Magnolia grandiflora 'St Mary',2f6c679e-5378-5aff-825e-fc34ffa0c89b,0.90
Magnolia grandiflora ‘DD Blanchard’,b8e20e3f-409e-54a4-a977-66c880faa483,0.90
Melaleuca quinquenervia,4b9e1d5d-c949-539a-b7f5-9771504e3506,1.00
Metasequoia glyptostroboides,1096258a-3fba-5dae-8d70-f7cbe5a022c5,1.00
Pistacia chinensis 'Keith Davey',9217a702-4d27-5ad3-af24-100f2875a84a,0.90
Platanus hispanica,b79e0637-b2d8-545b-9131-5caa4e6bd103,1.00
Platanus x acerifolia ‘Columbia’,4f3d971e-6015-5688-9bc0-5b15782461d7,0.75
Populus alba,7c87ff49-94e8-540b-8f5c-2c7359ce5af8,1.00
Populus fremontii,bdb408b7-0332-575b-a30e-6f3bee11f9a8,1.00
Populus trichocarpa,2c39b52e-619c-553e-b565-84a18270939f,1.00
Prunus avium,a480eb75-a6e2-5b9a-be86-84fc3256b0f1,1.00
Prunus dulcis,b47c324f-ce9a-5af4-9d11-75a0ac06286b,1.00
Prunus serrulata 'Shirotae',b20a1924-4120-5353-a6a0-227e33482c67,0.90
