[probe] armed
[probe] z18 markers=194 frames=2 fps=1.8 p50=576.0ms p95=576.0ms worst=576.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=681.0ms p95=681.0ms worst=681.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=596.5ms p95=596.5ms worst=596.5ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=590.2ms p95=590.2ms worst=590.2ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=555.6ms p95=555.6ms worst=555.6ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.2 p50=859.8ms p95=859.8ms worst=859.8ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=770.5ms p95=770.5ms worst=770.5ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=584.9ms p95=584.9ms worst=584.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=591.7ms p95=591.7ms worst=591.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=585.1ms p95=585.1ms worst=585.1ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=577.6ms p95=577.6ms worst=577.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=3 fps=1.7 p50=577.8ms p95=786.7ms worst=786.7ms dropped=2 gps=0 body=18 fetch=0
[probe] z18 markers=194 frames=3 fps=1.7 p50=586.3ms p95=779.6ms worst=779.6ms dropped=2 gps=0 body=18 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=590.4ms p95=590.4ms worst=590.4ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=610.3ms p95=610.3ms worst=610.3ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=753.9ms p95=753.9ms worst=753.9ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=842.5ms p95=842.5ms worst=842.5ms dropped=1 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=657.6ms p95=657.6ms worst=657.6ms dropped=0 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=750.1ms p95=750.1ms worst=750.1ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=588.8ms p95=588.8ms worst=588.8ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=3 fps=1.7 p50=571.3ms p95=746.8ms worst=746.8ms dropped=1 gps=0 body=18 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=566.9ms p95=566.9ms worst=566.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=571.7ms p95=571.7ms worst=571.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=818.5ms p95=818.5ms worst=818.5ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=778.2ms p95=778.2ms worst=778.2ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=581.2ms p95=581.2ms worst=581.2ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=851.4ms p95=851.4ms worst=851.4ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=757.3ms p95=757.3ms worst=757.3ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=834.2ms p95=834.2ms worst=834.2ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=730.8ms p95=730.8ms worst=730.8ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=3 fps=1.9 p50=560.9ms p95=662.2ms worst=662.2ms dropped=1 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=561.9ms p95=561.9ms worst=561.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=574.4ms p95=574.4ms worst=574.4ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=3 fps=1.8 p50=550.0ms p95=771.5ms worst=771.5ms dropped=1 gps=0 body=18 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=569.9ms p95=569.9ms worst=569.9ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=748.8ms p95=748.8ms worst=748.8ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=571.5ms p95=571.5ms worst=571.5ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=3 fps=1.9 p50=568.9ms p95=646.0ms worst=646.0ms dropped=1 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=827.7ms p95=827.7ms worst=827.7ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=759.7ms p95=759.7ms worst=759.7ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=762.4ms p95=762.4ms worst=762.4ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=558.1ms p95=558.1ms worst=558.1ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=858.3ms p95=858.3ms worst=858.3ms dropped=1 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=762.0ms p95=762.0ms worst=762.0ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.2 p50=840.7ms p95=840.7ms worst=840.7ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=577.2ms p95=577.2ms worst=577.2ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=637.0ms p95=637.0ms worst=637.0ms dropped=0 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=848.7ms p95=848.7ms worst=848.7ms dropped=0 gps=0 body=16 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=746.8ms p95=746.8ms worst=746.8ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=750.8ms p95=750.8ms worst=750.8ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=750.4ms p95=750.4ms worst=750.4ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=747.2ms p95=747.2ms worst=747.2ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=565.3ms p95=565.3ms worst=565.3ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=817.5ms p95=817.5ms worst=817.5ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=766.9ms p95=766.9ms worst=766.9ms dropped=1 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=671.9ms p95=671.9ms worst=671.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=3 fps=1.8 p50=588.1ms p95=663.8ms worst=663.8ms dropped=1 gps=0 body=17 fetch=0
